2024-08-21 02:38:48,657 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 0.5, 'c2': 0.3, 'w': 0.9}
2024-08-21 02:39:26,995 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 0.5, 'c2': 0.3, 'w': 0.9}
2024-08-21 02:45:40,725 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 0.5, 'c2': 0.3, 'w': 0.9}
2024-08-22 10:29:26,287 - pyswarms.single.global_best - INFO - Optimization finished | best cost: -0.53020035176997, best pos: [0.62855766 0.28119172 2.56791061 4.04327493]
2024-08-23 03:31:57,493 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:43,026 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,555 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,560 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,561 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,563 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,566 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,566 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,568 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,582 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,592 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,594 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,598 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,600 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,600 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,608 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,609 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,615 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,620 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,624 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,624 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:47,633 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:52,518 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:52,537 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:52,539 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:52,539 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
2024-08-23 03:36:52,540 - pyswarms.single.global_best - INFO - Optimize for 100 iters with {'c1': 1.5, 'c2': 1.5, 'w': 0.7, 'k': 3, 'p': 2}
